UniqueID,descriptiveLine,copyNumber,creditLine,historicalContextNote,objectHistoryNote,object,summary,productionNote,recordCreationDate,uniqueID,physicalDescription,materialsTechniques,dimensionsNote,imageResolution,contentDescription,recordModificationDate,museumNumber,aspects: item_count,images: item_count,objectNumber: item_count,collectionCode,productionType
O1507202,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507201,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507200,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507199,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507198,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507197,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507196,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507195,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507194,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507193,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507192,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507191,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507190,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507189,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507188,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507187,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507186,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507185,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507184,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507183,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507182,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507181,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507180,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507179,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507178,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507177,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507176,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507175,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507174,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507173,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507172,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
